Artist Name,Spotify ID,Spotify URL,Market
S. P. Balasubrahmanyam,2ae6PxICSOZHvjqiCcgon8,https://open.spotify.com/artist/2ae6PxICSOZHvjqiCcgon8,IN
Devi Sri Prasad,5sSzCxHtgL82pYDvx2QyEU,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,IN
Tamil,3cbjjLJRUIy4Vlyc3wXYoG,https://open.spotify.com/artist/3cbjjLJRUIy4Vlyc3wXYoG,IN
Tamil,1GA24KnB5AUW2WM26fmZ0N,https://open.spotify.com/artist/1GA24KnB5AUW2WM26fmZ0N,IN
Yuvan Shankar Raja,6AiX12wXdXFoGJ2vk8zBjy,https://open.spotify.com/artist/6AiX12wXdXFoGJ2vk8zBjy,IN
Tamil,1XsOLgT5zsn4JSgTlfkpwU,https://open.spotify.com/artist/1XsOLgT5zsn4JSgTlfkpwU,IN
Vijay Antony,6CtYzQvENTdGq5LPPsePdV,https://open.spotify.com/artist/6CtYzQvENTdGq5LPPsePdV,IN
Pa. Vijay,1dg4azP3LshEhi3moXgJQv,https://open.spotify.com/artist/1dg4azP3LshEhi3moXgJQv,IN
D. Imman,1QcBqYUeQ4Ux3itkdDaFi0,https://open.spotify.com/artist/1QcBqYUeQ4Ux3itkdDaFi0,IN
Sean Roldan,3TUNkjIHkcvEy9oeK2D4hU,https://open.spotify.com/artist/3TUNkjIHkcvEy9oeK2D4hU,IN
Shakthisree Gopalan,7zAp0JbkavFg2rcMGvANtP,https://open.spotify.com/artist/7zAp0JbkavFg2rcMGvANtP,IN
Vijay Yesudas,0aUQnP4HhUQXcurZl9GJIA,https://open.spotify.com/artist/0aUQnP4HhUQXcurZl9GJIA,IN
Arivu,7rVV9d6vc4FLT752uRuk71,https://open.spotify.com/artist/7rVV9d6vc4FLT752uRuk71,IN
Harini,41BeeC5hYqvtGkM79RYvN4,https://open.spotify.com/artist/41BeeC5hYqvtGkM79RYvN4,IN
Ranjith Govind,7zFlr6Y537SdALqy0Xfvth,https://open.spotify.com/artist/7zFlr6Y537SdALqy0Xfvth,IN
Shashaa Tirupati,12CpR4SNDzVIlDoPSeNFeW,https://open.spotify.com/artist/12CpR4SNDzVIlDoPSeNFeW,IN
K. J. Yesudas,2wPsNCwhEGb0KvChZ5DD52,https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52,IN
Ramajogayya Sastry,4GISoVSxo2LkF5EyorXs9W,https://open.spotify.com/artist/4GISoVSxo2LkF5EyorXs9W,IN
Mani Sharma,3AMxH9QIPZbK8ND8C9j4Ss,https://open.spotify.com/artist/3AMxH9QIPZbK8ND8C9j4Ss,IN
Karthik,0LSPREIgGMZXCuKVel7LVD,https://open.spotify.com/artist/0LSPREIgGMZXCuKVel7LVD,IN
Thaman S,2FgHPfRprDaylrSRVf1UlN,https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN,IN
Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,https://open.spotify.com/artist/3m49WVMU4zCkaVEKb8kFW7,IN
Chinmayi,5UJ2sHO2ELrgW6aXeRLTQQ,https://open.spotify.com/artist/5UJ2sHO2ELrgW6aXeRLTQQ,IN
S.P. Charan,1BIAyVQxDuYrMqZ8H1Faja,https://open.spotify.com/artist/1BIAyVQxDuYrMqZ8H1Faja,IN
Vijay Deverakonda,3k1eCPRO0dE0Q9YsRfh4vn,https://open.spotify.com/artist/3k1eCPRO0dE0Q9YsRfh4vn,IN
Geetha Madhuri,5qhGpFQDS0CHw4cKeCzaai,https://open.spotify.com/artist/5qhGpFQDS0CHw4cKeCzaai,IN
Radhan,5FOhBMFQo0pDhvISlFmxdi,https://open.spotify.com/artist/5FOhBMFQo0pDhvISlFmxdi,IN
Raghu Kunche,27UbUuYAM8Hc1BZKlydOB0,https://open.spotify.com/artist/27UbUuYAM8Hc1BZKlydOB0,IN
Bhuvana Chandra,6qJdT7Ol8lHV3I2ONq9hBi,https://open.spotify.com/artist/6qJdT7Ol8lHV3I2ONq9hBi,IN
Sreemani,4FMXVUiqvq8093FT0KBRza,https://open.spotify.com/artist/4FMXVUiqvq8093FT0KBRza,IN
Leon James,0wv5i0ds2z040yx7oL6UZy,https://open.spotify.com/artist/0wv5i0ds2z040yx7oL6UZy,IN
Harish Raghavendra,4Kw0NhqitzjxLy1jH5FlTg,https://open.spotify.com/artist/4Kw0NhqitzjxLy1jH5FlTg,IN
B. Ajaneesh Loknath,3PjvC3vaZ6wh5FK6PZ4Dd5,https://open.spotify.com/artist/3PjvC3vaZ6wh5FK6PZ4Dd5,IN
M.H.R,5A5bbXuMkVh28lxVO4y25g,https://open.spotify.com/artist/5A5bbXuMkVh28lxVO4y25g,IN
Shaan Rahman,42k1aOQmLqy5YQmqJ2zq8s,https://open.spotify.com/artist/42k1aOQmLqy5YQmqJ2zq8s,IN
K. S. Chithra,2IUtwMti1OiT3lkW6RubgH,https://open.spotify.com/artist/2IUtwMti1OiT3lkW6RubgH,IN
Sujatha,2JEjaa7hWhE1BbL3OcoeFR,https://open.spotify.com/artist/2JEjaa7hWhE1BbL3OcoeFR,IN
Sooraj Santhosh,66PGnr0hE7ZIcWir6IwitB,https://open.spotify.com/artist/66PGnr0hE7ZIcWir6IwitB,IN
Haricharan,1QvyquqkuuwUzdszyoKIy4,https://open.spotify.com/artist/1QvyquqkuuwUzdszyoKIy4,IN
